,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight
79,favorite,0.001995102929173846,brain,0.0027572672635839566,approach,0.002654882945812022,movement,0.0024171726908416556,potential,0.0016366310296022756,language,0.0023325655305128728,nee,0.002749522751232299,race,0.002558207787125807,cheat,0.0024777505667195445,commit,0.0023947221459739328,complete,0.0024051660050435604
80,secretly,0.0019569191410556863,worry,0.0027327364160431742,impact,0.00262828979443494,apparently,0.0023633490074423474,improperly,0.0016228003448450733,entire,0.0022596728576843458,customer,0.002749522751232299,amp,0.002548424965760125,popular,0.0024729580124318857,cry,0.0023805241885867354,coverage,0.0023711535564873887
81,messenger,0.0019330542734818364,position,0.002708205568502392,application,0.0026194254106425793,silence,0.0023535628831879278,partner,0.0016228003448450733,price,0.002249953834640542,system,0.002692537823745619,type,0.0025337507337116023,democratic,0.0024633729038565683,force,0.0023757915361243363,attend,0.0023322821867089068
82,pop,0.0019330542734818364,entire,0.002698393229486079,process,0.002561806915992235,freedom,0.002324204510424669,audit,0.0015951389753306687,quick,0.002167342138768211,identify,0.002673542847916726,represent,0.0025337507337116023,dark,0.0024537877952812513,citizen,0.002361593578737139,tour,0.002269116210818874
83,snapchat,0.0019139623794227566,investigation,0.002664050042928983,cryptomeme,0.0025529425321998743,founder,0.0023144183861702494,valuable,0.0015720878340686648,lip,0.0021576231157244075,facial,0.002611809176472823,sad,0.0025190765016630794,interference,0.0023818994809663707,raise,0.0023331976639627446,forward,0.0022545394471519434
84,stuff,0.0018948704853636767,act,0.0026100821783392614,tip,0.0024908918456533493,double,0.0022899530755342,feedly,0.0015398162363018592,line,0.002094449465939684,focus,0.0026023116885583765,obvious,0.002514185090980239,college,0.0023243888295144664,dead,0.002219614004865167,teach,0.002244821604707323
85,average,0.0018232758826421272,oath,0.002605176008831105,growth,0.002473163078068628,debate,0.002260594702770941,notify,0.0015305957797970577,forward,0.0020652923968082727,ability,0.002597562944601153,journalist,0.002494619448248875,benefit,0.0023195962752268076,violence,0.0022054160474779694,net,0.002205950234928841
86,publisher,0.0017850920945239675,white,0.002565926652765853,enable,0.0024288411591068247,era,0.002226343267880472,personality,0.0015075446385350538,awesome,0.002002118747023549,similar,0.002583316712729483,brother,0.0024554881627861474,bank,0.0023195962752268076,refuse,0.002195950742553171,present,0.0021039128892603263
87,dump,0.0017516812799205778,ill,0.0025315834662087574,deliver,0.002406680199625923,politic,0.002201877957244423,contract,0.0015029344102826532,avoid,0.001958383143326433,behavior,0.0025690704808578133,surprised,0.0024016826452748974,citizen,0.00231001116665149,session,0.0021817527851659742,giant,0.002065041519481845
88,engagement,0.0017421353328910378,reality,0.002526677296700601,code,0.0024022480077297427,invite,0.0021627334602267443,revenue,0.00148449349727305,realize,0.0019243665626731202,relate,0.0024551006258844536,interest,0.002264723146155351,tactic,0.0023052186123638315,red,0.002177020132703575,generation,0.0020407469133702934
89,percent,0.001684859650713798,nice,0.002507052618667975,guide,0.002393383623937382,leftist,0.0021627334602267443,mining,0.0014798832690206493,choice,0.001900069005063611,pass,0.002326884539039424,ridiculous,0.0022549403247896695,specific,0.0022572930694872446,lock,0.0021533568703915795,reminder,0.0020164523072587425
90,record,0.0016562218096251784,interest,0.0025021464491598185,predict,0.0023446295130793984,terrorist,0.0020795514040641773,violation,0.0014706628125158478,ceo,0.0018903499820198074,reach,0.0022888945873816378,damage,0.0022549403247896695,bot,0.002252500515199586,worker,0.0021533568703915795,handle,0.0019775809374802606
91,reason,0.0016180380215070186,meltdown,0.0024923341101435056,grow,0.0023180363617023164,rid,0.0020452999691737087,disclose,0.0014199503017394391,incredible,0.0017883002400598692,measure,0.002260402123638298,handle,0.0021766777538642142,goal,0.0021997824180353402,separation,0.0021438915654667817,announcement,0.0019144149615902277
92,deactivate,0.001589400180418399,crap,0.002477615601619036,smart,0.002300307594117595,pick,0.002040406907046499,grant,0.0013968991604774352,hilarious,0.0017737217054941638,tracking,0.002222412171980511,totally,0.002157112111132851,favor,0.002185404755172364,describe,0.0021296936080795843,weekend,0.001836672222033264
93,reply,0.0015512163923002392,raid,0.002408929228504845,dapp,0.0022293925237787094,replace,0.002025727720664869,giant,0.0013968991604774352,internet,0.0017445646363627527,experience,0.0022176634280232877,bullshit,0.002137546468401487,republican,0.0021518568751587534,animal,0.002096565040842791,monopoly,0.0018220954583663335
94,original,0.0015034866571525395,house,0.0023794922114559057,engineer,0.0021939349886092667,engage,0.0020208346585376593,malicious,0.0013507968779534274,people,0.0017299861017970473,secure,0.002203417196151618,consequence,0.002132655057718646,oil,0.0021278941037204597,thousand,0.0020870997359179926,highlight,0.0018026597734770926
95,verify,0.0014939407101229995,mad,0.0023647737029314363,skill,0.002185070604816906,threat,0.0020110485342832397,partnership,0.001300084367177019,advice,0.0016959695211437346,dataprivacy,0.002141683524707715,corporation,0.002132655057718646,hacker,0.002113516440857484,enemy,0.0020634364736059974,touch,0.00174435271880937
