,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight
13,reason,0.010029489912114222,evidence,0.010030243333980744,collect,0.012097275351110989,drive,0.009665180825435294,event,0.013233702804667622,face,0.012309952258538377,job,0.013910584433072987,bring,0.010378888397464248,advertising,0.010538083171858698,network,0.01255690778706817,explain,0.010826210826210826
14,agree,0.009752109550643814,voter,0.009475319774701035,protection,0.011434410948310386,impact,0.009217985891721124,join,0.012575673383441056,team,0.011869261843554902,iot,0.013722057635335308,continue,0.009553295002211411,claim,0.010210165449396333,control,0.012214717172017735,human,0.010541310541310541
15,care,0.009649916785891558,brexit,0.009461446685719042,european,0.011379172248077003,tech,0.00891504738823733,full,0.01196151259029626,hearing,0.01176643408005876,cybersecurity,0.013722057635335308,action,0.009494324045407636,spend,0.008823967804441795,power,0.011485702383432023,idea,0.009236767131503974
16,man,0.00940173435720751,country,0.009419827418773064,rule,0.011268694847610236,strategy,0.008900621745214292,update,0.011493580557424034,win,0.011208226221079691,infographic,0.013520064637759224,include,0.009361639392599146,product,0.00833209122074825,free,0.011054244651411908,stuff,0.00920677762783026
17,number,0.009328739525241613,result,0.008601315168835492,gdpr,0.010895833621034898,system,0.008785216601029992,date,0.010791682508115696,meet,0.010576569959603379,blockchain,0.012604363048747643,recent,0.009243697478991597,hard,0.008317185869727232,trust,0.010964977534442229,part,0.008037186984555406
18,ago,0.009255744693275716,money,0.008171249410393717,protect,0.010730117520334747,create,0.008756365314983916,photo,0.009490246541689819,play,0.010268086669114947,daily,0.012079181255049825,datum,0.008919357216570839,state,0.008123416306454016,place,0.009640848632725326,hope,0.008007197480881691
19,email,0.009182749861309819,russian,0.00787991454177187,private,0.010371065968817754,company,0.008410149882431009,comment,0.00870061123621794,write,0.009827396254131473,deeplearne,0.011405871263129546,clear,0.008727701606958573,true,0.008048889551348934,site,0.008614276787574017,view,0.007902234218023692
20,add,0.008861572600659874,deal,0.007186260092672234,regulation,0.010329636943642716,project,0.007991806234762915,free,0.008671365484163425,testimony,0.009724568490635329,digital,0.011271209264745488,launch,0.00850656051894442,word,0.00797436279624385,call,0.007974529115957986,age,0.007662318188633978
21,phone,0.008817775701480336,influence,0.007103021558780278,reach,0.009666772540842115,provide,0.007717719017325197,visit,0.008583628227999882,speak,0.009504223283143591,top,0.010894155669270131,history,0.008344390387734041,long,0.007601729020718438,step,0.007900139851816586,piece,0.007302444144549408
22,feel,0.007956436684282753,child,0.007103021558780278,term,0.008769143662049632,global,0.007660016445233046,support,0.008466645219781826,parliament,0.008564083731178847,intelligence,0.009480204686237543,face,0.007415597818074598,wrong,0.007542107616634371,buy,0.007885261998988306,thread,0.007107512370670265
23,lose,0.007854243919530497,investigate,0.006770067423212452,concern,0.008133898609365722,challenge,0.007515760015002669,website,0.008027958938964115,listen,0.008475945648182152,startup,0.009453272286560732,easy,0.007327141382868937,meeting,0.007512296914592338,guy,0.007870384146160026,hate,0.006942570100464837
24,list,0.007503868726094193,suspend,0.00665908271135651,admit,0.00794056315854888,grow,0.007501334371979631,brand,0.007282192261574006,end,0.008270290121189863,machine,0.008591435496902774,announce,0.007179713990859502,ca,0.00733343270234014,money,0.0077513613235337874,decision,0.006747638326585695
